fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,bound_sulfur_dioxide,quality_class
6.3,0.21,0.4,1.7,0.031,48,0.9917,3.42,0.49,11.5,86,1
8,0.23,0.46,1.5,0.03,30,0.9907,3.23,0.47,12.5,95,1
7.3,0.27,0.39,6.7,0.064,28,0.9958,3.29,0.3,9.7,160,0
7.6,0.32,0.36,1.6,0.04,32,0.993,3.23,0.52,11.3,123,1
5,0.33,0.16,1.5,0.049,10,0.9917,3.48,0.44,10.7,87,1
8,0.28,0.42,7.1,0.045,41,0.9959,3.17,0.43,10.6,128,0
8.2,0.37,0.36,1,0.034,17,0.9906,3.04,0.32,11.7,76,2
7.2,0.26,0.44,7.1,0.027,25,0.993,3.02,0.34,11.1,101,2
8.2,0.37,0.36,1,0.034,17,0.9906,3.04,0.32,11.7,76,2
5.9,0.4,0.32,6,0.034,50,0.992,3.51,0.58,12.5,77,2
7.6,0.28,0.39,1.2,0.038,21,0.994,3.16,0.67,10,94,1
8,0.28,0.42,7.1,0.045,41,0.9959,3.17,0.43,10.6,128,0
7.2,0.23,0.39,2.3,0.033,29,0.9908,3.26,0.54,12.3,73,2
6.8,0.32,0.37,3.4,0.023,19,0.9902,3.14,0.53,12.7,68,1
7.2,0.23,0.39,2.3,0.033,29,0.9908,3.26,0.54,12.3,73,2
6.9,0.18,0.38,6.5,0.039,20,0.9943,3.1,0.42,10.5,90,0
8.3,0.33,0.42,1.15,0.033,18,0.9911,3.2,0.32,12.4,78,0
7.3,0.29,0.3,13,0.043,46,0.9986,3.06,0.41,8.7,192,1
7.9,0.41,0.37,4.5,0.03,40,0.992,3.17,0.54,12.4,74,2
7.9,0.44,0.37,5.85,0.033,27,0.992,3.16,0.54,12.6,66,2
7.7,0.39,0.3,5.2,0.037,29,0.9943,3.38,0.44,11,102,1
7.7,0.26,0.31,1.3,0.043,47,0.9937,3.42,0.5,10.1,108,1
7.8,0.32,0.31,1.7,0.036,46,0.993,3.03,0.48,10.5,149,0
6.8,0.32,0.37,3.4,0.023,19,0.9902,3.14,0.53,12.7,68,1
7.3,0.24,0.39,3.6,0.024,35,0.9928,3.17,0.51,10.9,81,0
7.1,0.44,0.37,2.7,0.041,35,0.9896,3.07,0.43,13.5,93,2
7.9,0.14,0.28,1.8,0.041,44,0.9954,3.45,0.43,9.2,134,1
7.4,0.18,0.42,2.1,0.036,33,0.9938,3.4,0.41,10.6,154,2
8.1,0.43,0.42,6.6,0.033,36,0.9918,2.98,0.39,13.3,105,2
7.1,0.44,0.37,2.7,0.041,35,0.9896,3.07,0.43,13.5,93,2
6.4,0.26,0.22,5.1,0.037,23,0.9944,3.29,0.32,10.1,108,0
8,0.2,0.4,5.2,0.055,41,0.9953,3.18,0.4,10.6,126,2
7.2,0.21,0.34,1.1,0.046,25,0.992,3.25,0.4,11.3,55,1
7.2,0.18,0.31,1.1,0.045,20,0.9925,3.32,0.4,10.8,53,2
5.7,0.245,0.33,1.1,0.049,28,0.9927,3.13,0.42,9.3,122,0
5.6,0.245,0.32,1.1,0.047,24,0.9927,3.12,0.42,9.3,128,1
7.3,0.25,0.41,1.8,0.037,52,0.9911,3.29,0.39,12.2,113,2
6.9,0.29,0.16,6.8,0.034,65,0.9955,3.08,0.39,9,147,1
6.2,0.21,0.38,6.8,0.036,64,0.9951,3.06,0.36,9.3,181,1
6.4,0.23,0.3,7.1,0.037,63,0.9952,3.06,0.34,9.2,173,1
7.2,0.14,0.35,1.2,0.036,15,0.9938,3.46,0.39,9.9,58,0
6.9,0.31,0.34,7.4,0.059,36,0.9963,3.46,0.62,11.1,138,2
7.5,0.28,0.34,4.2,0.028,36,0.991,2.99,0.41,12.3,80,2
8,0.22,0.42,14.6,0.044,45,1.0003,3.21,0.69,8.6,118,2
7.6,0.31,0.29,10.5,0.04,21,0.9966,3.04,0.35,9.4,124,0
8.4,0.35,0.56,13.8,0.048,55,0.9993,3.07,0.58,9.4,135,1
8,0.22,0.42,14.6,0.044,45,1.0003,3.21,0.69,8.6,118,2
8.4,0.35,0.56,13.8,0.048,55,0.9993,3.07,0.58,9.4,135,1
6.2,0.22,0.27,1.5,0.064,20,0.9938,3.22,0.46,9.2,112,1
8,0.22,0.42,14.6,0.044,45,1.0003,3.21,0.69,8.6,118,2
7.6,0.31,0.29,10.5,0.04,21,0.9966,3.04,0.35,9.4,124,0
6.6,0.27,0.3,1.9,0.025,14,0.9928,3.29,0.62,10.5,139,1
7.7,0.27,0.34,1.8,0.028,26,0.9911,2.99,0.48,12.1,142,2
8,0.45,0.36,8.8,0.026,50,0.9927,3.07,0.25,12.7,101,2
7.7,0.27,0.34,1.8,0.028,26,0.9911,2.99,0.48,12.1,142,2
6.6,0.16,0.29,1.8,0.05,40,0.9912,3.06,0.44,11.4,107,2
8.3,0.21,0.4,1.6,0.032,35,0.9907,3.02,0.6,12.9,75,2
7.2,0.32,0.33,1.4,0.029,29,0.9902,3.15,0.51,12.8,80,2
6.6,0.16,0.3,1.6,0.034,15,0.992,3.38,0.44,11.2,63,1
8.4,0.16,0.33,1.5,0.033,16,0.994,3.14,0.42,9.7,82,1
7.5,0.23,0.32,9.2,0.038,54,0.9966,3.04,0.56,9.7,137,1
6.2,0.17,0.3,1.1,0.037,14,0.993,3.5,0.54,10.3,65,1
7.5,0.23,0.32,9.2,0.038,54,0.9966,3.04,0.56,9.7,137,1
7.5,0.38,0.33,5,0.045,30,0.9942,3.32,0.44,10.9,101,1
7.3,0.42,0.38,6.8,0.045,29,0.9925,3.19,0.37,12.6,93,2
7.3,0.34,0.39,5.2,0.04,45,0.9925,3.3,0.47,12.4,118,1
7.8,0.23,0.28,4.75,0.042,45,0.9928,2.96,0.4,11.5,121,0
6.9,0.2,0.4,7.7,0.032,51,0.9939,3.22,0.27,11.4,125,0
7.4,0.19,0.42,6.4,0.067,39,0.9958,3.3,0.33,9.6,173,1
8.2,0.2,0.36,8.1,0.035,60,0.9952,3.05,0.3,10.3,103,1
7.9,0.14,0.45,1.8,0.05,17,0.9948,3.33,0.49,10.7,97,2
6.8,0.24,0.4,1.8,0.047,34,0.99,3.13,0.49,12.8,71,2
6.3,0.23,0.22,3.75,0.039,37,0.9927,3.23,0.5,10.7,79,1
6.4,0.31,0.4,6.2,0.04,46,0.9953,3.15,0.46,9.3,123,1
8.1,0.2,0.36,9.7,0.044,63,0.997,3.1,0.46,10,99,1
7.9,0.255,0.26,2,0.026,40,0.9932,3.04,0.39,11.2,150,1
7,0.15,0.34,1.4,0.039,21,0.9927,3.32,0.62,10.8,156,0
6.4,0.15,0.31,1.1,0.044,25,0.9932,3.54,0.51,10.3,71,1
6.4,0.25,0.53,6.6,0.038,59,0.9955,3.03,0.42,8.8,175,0
7.6,0.19,0.42,1.5,0.044,6,0.9914,3.04,0.74,12.8,108,1
7.3,0.43,0.37,4.6,0.028,17,0.991,3.23,0.43,13.2,97,1
5.1,0.31,0.3,0.9,0.037,28,0.992,3.54,0.56,10.1,124,1
6.9,0.16,0.35,1.3,0.043,21,0.9927,3.25,0.62,10.8,161,1
7.7,0.32,0.48,2.3,0.04,28,0.9911,3.2,0.52,12.8,86,2
6.8,0.26,0.33,1.5,0.047,44,0.9928,3.12,0.44,10.5,123,1
5.2,0.37,0.33,1.2,0.028,13,0.9902,3.37,0.38,11.7,68,1
8.4,0.19,0.43,2.1,0.052,20,0.994,2.85,0.46,9.5,84,0
8.3,0.21,0.41,2.2,0.05,24,0.994,2.85,0.45,9.5,84,0
6.8,0.15,0.32,8.8,0.058,24,0.9972,3.4,0.4,8.8,86,1
7.8,0.21,0.39,1.8,0.034,62,0.991,3.09,0.75,12.6,118,2
7.8,0.29,0.36,7,0.042,38,0.9941,3.26,0.37,11.2,123,2
7.2,0.16,0.32,0.8,0.04,50,0.9922,3.27,0.33,10,71,1
6.6,0.25,0.31,12.4,0.059,52,0.9984,3.51,0.47,9.8,129,1
7.3,0.23,0.37,1.9,0.041,51,0.9908,3.26,0.4,12.2,114,2
7.3,0.39,0.37,1.1,0.043,36,0.991,3.39,0.48,12.7,77,2
7,0.46,0.39,6.2,0.039,46,0.9928,3.21,0.35,12.2,117,2
8.2,0.35,0.4,6.3,0.039,35,0.9936,3.15,0.34,11.9,127,2
7.8,0.29,0.36,7,0.042,38,0.9941,3.26,0.37,11.2,123,2
6.5,0.37,0.33,3.9,0.027,40,0.9906,3.28,0.39,12.7,90,2
7.8,0.13,0.3,1.8,0.04,43,0.9955,3.43,0.41,9,136,0
7.6,0.19,0.41,1.1,0.04,38,0.9907,2.92,0.42,11.4,105,0
7.3,0.22,0.41,15.4,0.05,55,1,3.32,0.59,8.9,136,1
6.3,0.29,0.4,6.5,0.039,43,0.9953,3.15,0.44,9.3,124,1
6.8,0.35,0.32,2.4,0.048,35,0.9911,3.28,0.46,12,68,2
6.5,0.19,0.32,1.4,0.04,31,0.9922,3.36,0.54,10.8,101,2
6.2,0.12,0.26,5.7,0.044,56,0.9951,3.52,0.37,10.5,102,1
6.4,0.25,0.33,1.4,0.04,42,0.9906,3.19,0.48,11.3,73,2
6.9,0.32,0.16,1.4,0.051,15,0.994,3.22,0.38,9.5,81,0
7.6,0.19,0.41,1.1,0.04,38,0.9907,2.92,0.42,11.4,105,0
6.7,0.13,0.28,1.2,0.046,35,0.9927,3.33,0.33,10.1,105,2
7,0.14,0.41,0.9,0.037,22,0.9914,3.25,0.43,10.9,73,1
7.6,0.27,0.24,3.8,0.058,19,0.9958,3.15,0.45,8.9,96,0
7.3,0.22,0.41,15.4,0.05,55,1,3.32,0.59,8.9,136,1
7.6,0.28,0.39,1.9,0.052,23,0.9941,3.25,0.4,10.4,93,1
8.3,0.26,0.41,9.2,0.042,41,0.9944,3.1,0.38,12,121,2
6.9,0.23,0.34,2.7,0.032,24,0.9902,3.14,0.38,12.4,97,2
6.2,0.3,0.32,1.7,0.032,30,0.9911,3.28,0.41,11.2,100,2
6.9,0.27,0.41,1.7,0.047,6,0.9929,3.15,0.69,11.4,128,1
6.9,0.28,0.41,1.7,0.05,10,0.993,3.16,0.71,11.4,126,1
6.9,0.28,0.3,1.6,0.047,46,0.9918,3.35,0.38,11.1,86,2
6.9,0.46,0.2,0.9,0.054,5,0.992,3.1,0.42,10.4,121,1
6.9,0.38,0.32,8.5,0.044,36,0.9932,3.38,0.35,12,116,2
5.7,0.43,0.3,5.7,0.039,24,0.992,3.54,0.61,12.3,74,2
7.1,0.36,0.56,1.3,0.046,25,0.9923,3.24,0.33,10.5,77,1
6.8,0.23,0.4,1.6,0.047,5,0.993,3.23,0.7,11.4,128,1
6.6,0.42,0.33,2.8,0.034,15,0.99,3.28,0.51,13.4,70,1
7.3,0.18,0.29,1.2,0.044,12,0.9918,3.2,0.48,11.3,131,2
8.1,0.19,0.4,0.9,0.037,73,0.9926,3.06,0.34,10,107,1
5.9,0.19,0.26,7.4,0.034,33,0.995,3.49,0.42,10.1,90,1
6.2,0.16,0.47,1.4,0.029,23,0.99,3.26,0.42,12.2,58,1
6.6,0.42,0.33,2.8,0.034,15,0.99,3.28,0.51,13.4,70,1
5.7,0.135,0.3,4.6,0.042,19,0.9946,3.31,0.42,9.3,82,1
6.9,0.19,0.33,1.6,0.039,27,0.9898,3.09,0.46,12.3,71,2
7.3,0.18,0.29,1.2,0.044,12,0.9918,3.2,0.48,11.3,131,2
7.3,0.25,0.36,13.1,0.05,35,0.9986,3.04,0.46,8.9,165,2
7.3,0.25,0.36,13.1,0.05,35,0.9986,3.04,0.46,8.9,165,2
7,0.2,0.34,5.7,0.035,32,0.9928,3.19,0.46,11.5,51,1
7.3,0.25,0.36,13.1,0.05,35,0.9986,3.04,0.46,8.9,165,2
7.4,0.4,0.29,5.4,0.044,31,0.994,3.3,0.5,11.1,91,2
7.1,0.26,0.31,2.2,0.044,29,0.9937,3.34,0.64,10.9,99,2
6.3,0.39,0.24,6.9,0.069,9,0.9942,3.15,0.35,10.2,108,0
8.2,0.22,0.36,6.8,0.034,12,0.9944,3.01,0.38,10.5,78,2
7.3,0.25,0.36,13.1,0.05,35,0.9986,3.04,0.46,8.9,165,2
7.9,0.2,0.34,1.2,0.04,29,0.9932,3.14,0.41,10.6,89,1
7.1,0.26,0.32,5.9,0.037,39,0.9934,3.31,0.4,11.6,58,1
7,0.2,0.34,5.7,0.035,32,0.9928,3.19,0.46,11.5,51,1
8.1,0.29,0.49,7.1,0.042,22,0.9944,3.14,0.41,10.8,102,1
5.8,0.17,0.3,1.4,0.037,55,0.9909,3.29,0.38,11.3,75,1
6.6,0.23,0.26,1.3,0.045,16,0.9934,3.36,0.6,10,112,1
6.2,0.18,0.49,4.5,0.047,17,0.9919,3.27,0.37,11.6,73,1
5.3,0.165,0.24,1.1,0.051,25,0.9925,3.32,0.47,9.1,80,0
8.1,0.29,0.49,7.1,0.042,22,0.9944,3.14,0.41,10.8,102,1
6.8,0.22,0.49,0.9,0.052,26,0.991,3.25,0.35,11.4,102,1
7.2,0.22,0.49,1,0.045,34,0.99,3.05,0.34,12.7,106,1
7.4,0.25,0.49,1.1,0.042,35,0.9917,3.13,0.55,11.3,121,0
8.2,0.18,0.49,1.1,0.033,28,0.9923,3,0.68,10.4,53,2
6.1,0.22,0.49,1.5,0.051,18,0.9928,3.3,0.46,9.6,69,0
7,0.39,0.24,1,0.048,8,0.9923,3,0.31,10.1,111,0
6.1,0.22,0.49,1.5,0.051,18,0.9928,3.3,0.46,9.6,69,0
6.5,0.36,0.49,2.9,0.03,16,0.9902,3.1,0.49,12.1,78,2
7.1,0.29,0.49,1.2,0.031,32,0.9893,3.07,0.33,12.2,67,1
7.4,0.25,0.49,1.1,0.042,35,0.9917,3.13,0.55,11.3,121,0
6.9,0.23,0.24,14.2,0.053,19,0.9982,3.17,0.5,9.6,75,0
8.2,0.18,0.49,1.1,0.033,28,0.9923,3,0.68,10.4,53,2
6.3,0.23,0.49,7.1,0.05,67,0.9951,3.23,0.34,9.5,143,0
6.1,0.25,0.49,7.6,0.052,67,0.9956,3.16,0.47,8.9,159,0
7.2,0.31,0.24,1.4,0.057,17,0.9928,3.16,0.35,10.5,100,0
8,0.25,0.49,1.2,0.061,27,0.9938,3.08,0.34,9.4,90,0
7,0.18,0.49,5.3,0.04,34,0.9914,3.24,0.4,12.2,91,1
7.8,0.43,0.49,13,0.033,37,0.9955,3.14,0.35,11.3,121,1
6.3,0.27,0.49,1.2,0.063,35,0.9911,3.38,0.42,12.2,57,1
7.4,0.16,0.49,1.2,0.055,18,0.9917,3.23,0.47,11.2,132,1
7.4,0.16,0.49,1.2,0.055,18,0.9917,3.23,0.47,11.2,132,1
6.9,0.19,0.49,6.6,0.036,49,0.9932,3.2,0.27,11.5,123,1
7.8,0.43,0.49,13,0.033,37,0.9955,3.14,0.35,11.3,121,1
7.2,0.4,0.49,1.1,0.048,11,0.9929,3.01,0.42,9.3,127,0
7.8,0.43,0.49,13,0.033,37,0.9955,3.14,0.35,11.3,121,1
8.3,0.21,0.49,19.8,0.054,50,1.0012,2.99,0.54,9.2,181,0
6.3,0.27,0.49,1.2,0.063,35,0.9911,3.38,0.42,12.2,57,1
7.9,0.11,0.49,4.5,0.048,27,0.9946,3.24,0.42,10.6,106,1
6.4,0.145,0.49,5.4,0.048,54,0.9946,3.56,0.44,10.8,110,1
7.4,0.16,0.49,1.2,0.055,18,0.9917,3.23,0.47,11.2,132,1
8.3,0.19,0.49,1.2,0.051,11,0.9918,3.06,0.46,11,126,1
8,0.44,0.49,9.1,0.031,46,0.9926,3.16,0.27,12.7,105,2
6.9,0.19,0.49,6.6,0.036,49,0.9932,3.2,0.27,11.5,123,1
7.1,0.25,0.49,3,0.03,30,0.9903,3.13,0.39,12.3,66,2
6.5,0.24,0.24,1.6,0.046,15,0.9928,3.19,0.39,9.8,45,0
7.2,0.4,0.49,1.1,0.048,11,0.9929,3.01,0.42,9.3,127,0
7.8,0.43,0.49,13,0.033,37,0.9955,3.14,0.35,11.3,121,1
7.8,0.21,0.49,1.35,0.052,6,0.9911,3.15,0.28,11.4,42,0
7,0.2,0.49,5.9,0.038,39,0.9938,3.21,0.48,10.8,89,1
6.9,0.25,0.24,3.6,0.057,13,0.9942,2.99,0.48,9.5,72,0
7.2,0.08,0.49,1.3,0.05,18,0.9945,3.46,0.44,10.2,130,1
7.9,0.22,0.24,4.6,0.044,39,0.9927,2.99,0.28,11.5,120,1
7.7,0.16,0.49,2,0.056,20,0.9948,3.32,0.49,10.7,104,1
7.2,0.08,0.49,1.3,0.05,18,0.9945,3.46,0.44,10.2,130,1
6.6,0.25,0.24,1.7,0.048,26,0.9942,3.37,0.6,10.1,98,1
6.9,0.25,0.24,3.6,0.057,13,0.9942,2.99,0.48,9.5,72,0
7.5,0.32,0.24,4.6,0.053,8,0.9958,3.14,0.5,9.1,126,0
7.4,0.28,0.49,1.5,0.034,20,0.9918,2.98,0.39,10.6,106,1
6.2,0.15,0.49,0.9,0.033,17,0.9932,3.3,0.7,9.4,34,1
5.6,0.185,0.49,1.1,0.03,28,0.9918,3.55,0.45,10.3,89,1
7.5,0.2,0.49,1.3,0.031,8,0.9918,3.06,0.62,11.1,89,0
8,0.3,0.49,9.4,0.046,47,0.9964,3.14,0.48,10,141,0
8,0.34,0.49,9,0.033,39,0.9936,3.13,0.38,12.3,141,2
7.7,0.35,0.49,8.65,0.033,42,0.9931,3.14,0.38,12.4,144,2
7.6,0.29,0.49,9.6,0.03,45,0.9938,3.13,0.38,12.3,152,2
6.8,0.27,0.49,1.2,0.044,35,0.99,3.13,0.48,12.1,91,2
7.7,0.27,0.49,1.8,0.041,23,0.9914,3.16,0.42,12.5,63,1
7.4,0.19,0.49,9.3,0.03,26,0.994,2.99,0.32,11,106,2
8.3,0.2,0.49,1.7,0.04,34,0.9938,3.05,0.37,10.1,135,0
6.6,0.3,0.24,1.2,0.034,17,0.9933,3.13,0.36,9.2,104,0
6.8,0.36,0.24,4.6,0.039,24,0.9909,3.27,0.34,12.6,100,2
8.1,0.2,0.49,8.1,0.051,51,0.9954,3.1,0.52,11,154,1
6.8,0.21,0.49,14.5,0.06,50,0.9991,3.55,0.44,9.8,120,1
7.9,0.2,0.49,1.6,0.053,15,0.993,3.16,0.47,10.5,129,0
8,0.18,0.49,1.8,0.061,10,0.9942,3.23,0.48,10,135,0
7.3,0.22,0.49,9.4,0.034,29,0.9939,2.99,0.32,11,105,2
7.3,0.22,0.49,9.9,0.031,48,0.9937,3.01,0.28,11.2,113,1
7.4,0.19,0.49,9.3,0.03,26,0.994,2.99,0.32,11,106,2
8.2,0.22,0.49,9.6,0.037,53,0.9951,3.02,0.33,10.6,101,1
8.2,0.24,0.49,9.3,0.038,52,0.9952,3.02,0.33,10.6,111,1
8.4,0.23,0.49,7.8,0.035,22,0.9935,3.04,0.34,12,73,1
8.3,0.2,0.49,1.7,0.04,34,0.9938,3.05,0.37,10.1,135,0
8.3,0.2,0.49,1.7,0.038,38,0.9939,3.05,0.37,10.1,129,1
6.6,0.3,0.24,1.2,0.034,17,0.9933,3.13,0.36,9.2,104,0
6.9,0.21,0.49,1.4,0.041,15,0.9927,3.25,0.63,11,149,0
8,0.25,0.49,9,0.044,31,0.998,3.34,0.49,10,154,1
6.6,0.21,0.49,18.15,0.042,41,0.9997,3.28,0.39,8.7,117,1
7.9,0.28,0.49,7.7,0.045,48,0.9954,3.04,0.55,11,147,1
7.4,0.27,0.49,1.1,0.037,33,0.992,3.15,0.54,11.1,123,1
6.6,0.21,0.49,18.15,0.042,41,0.9997,3.28,0.39,8.7,117,1
8.1,0.3,0.49,8.1,0.037,26,0.9943,3.1,0.3,11.2,148,2
7.5,0.23,0.49,7.7,0.049,61,0.9941,3.14,0.3,11.1,148,2
7.3,0.26,0.49,5,0.028,32,0.9936,3.24,0.54,10.8,75,1
8.5,0.15,0.49,1.5,0.031,17,0.9932,3.03,0.4,10.3,105,1
8.1,0.28,0.49,1,0.04,32,0.9936,3.13,0.41,10,116,1
6,0.17,0.49,1,0.034,26,0.992,3.21,0.42,9.8,80,1
7.3,0.26,0.49,5,0.028,32,0.9936,3.24,0.54,10.8,75,1
7.2,0.16,0.49,1.3,0.037,27,0.9924,3.23,0.57,10.6,77,1
7.3,0.14,0.49,1.1,0.038,28,0.9928,3.2,0.72,10.6,71,1
7.9,0.12,0.49,5.2,0.049,33,0.9952,3.18,0.47,10.6,119,1
6.7,0.29,0.49,4.7,0.034,35,0.9945,3.13,0.45,9.9,121,1
6.7,0.3,0.49,4.8,0.034,36,0.9945,3.12,0.45,9.9,122,1
7.1,0.36,0.24,1.8,0.025,32,0.9903,3.34,0.59,12.8,70,1
8.5,0.15,0.49,1.5,0.031,17,0.9932,3.03,0.4,10.3,105,1
7.9,0.18,0.49,5.2,0.051,36,0.9953,3.18,0.48,10.6,121,1
7.3,0.21,0.49,1.8,0.038,44,0.9912,3.32,0.44,12.6,108,2
6.9,0.3,0.49,7.6,0.057,25,0.9962,3.43,0.63,11,131,2
7.9,0.42,0.49,8.2,0.056,32,0.9965,3.29,0.6,11.2,132,2
6.9,0.24,0.49,1.3,0.032,35,0.9932,3.45,0.57,10.7,113,2
7.6,0.23,0.49,10,0.036,45,0.9967,3.08,0.58,9.6,137,1
7.9,0.18,0.49,5.2,0.051,36,0.9953,3.18,0.48,10.6,121,1
6.2,0.43,0.49,6.4,0.045,12,0.9963,3.27,0.57,9,103,0
8.8,0.35,0.49,1,0.036,14,0.992,2.96,0.33,10.5,42,0
7.1,0.34,0.49,1.5,0.027,26,0.99,3.3,0.33,12.2,100,2
8.5,0.19,0.49,3.5,0.044,29,0.9938,3.14,0.51,10.1,88,1
7.6,0.18,0.49,18.05,0.046,36,0.9996,3.06,0.41,9.2,122,0
7.5,0.19,0.49,1.8,0.055,19,0.9946,3.33,0.44,9.9,91,0
7.4,0.3,0.49,8.2,0.055,49,0.9974,3.52,0.58,9.7,139,1
7.4,0.3,0.49,8.2,0.055,49,0.9974,3.52,0.58,9.7,139,1
6.9,0.22,0.49,7,0.063,50,0.9957,3.54,0.5,10.3,118,1
7.8,0.26,0.49,3.1,0.045,21,0.9931,3.16,0.35,10.3,95,0
8.5,0.17,0.49,8.8,0.048,23,0.9947,2.88,0.34,10.5,85,0
6.2,0.27,0.49,1.4,0.05,20,0.9931,3.32,0.44,9.8,54,1
7.6,0.31,0.49,13.4,0.062,50,0.9989,3.22,0.53,9,141,0
8.4,0.24,0.49,7.4,0.039,46,0.9934,3.03,0.33,11.9,62,2
6.4,0.12,0.49,6.4,0.042,49,0.9945,3.34,0.44,10.4,112,1
8.6,0.16,0.49,7.3,0.043,9,0.9953,3.13,0.59,10.5,54,1
7,0.29,0.49,3.8,0.047,37,0.9938,2.95,0.4,9.4,99,1
6.4,0.27,0.49,7.3,0.046,53,0.9956,3.24,0.43,9.2,153,1
6.4,0.27,0.49,7.3,0.046,53,0.9956,3.24,0.43,9.2,153,1
7,0.29,0.49,3.8,0.047,37,0.9938,2.95,0.4,9.4,99,1
8.2,0.34,0.49,8,0.046,55,0.996,3.08,0.52,10.7,168,1
5.6,0.39,0.24,4.7,0.034,27,0.9906,3.28,0.36,12.7,50,0
5.6,0.41,0.24,1.9,0.034,10,0.98815,3.32,0.5,13.5,43,2
7.1,0.26,0.49,2.2,0.032,31,0.9903,3.37,0.42,12.9,82,2
7.5,0.32,0.49,1.7,0.031,44,0.9906,3.07,0.46,12.5,65,1
5.8,0.19,0.49,4.9,0.04,44,0.9935,3.34,0.38,9.5,74,2
8.1,0.2,0.49,11.8,0.048,46,0.9968,3.09,0.46,10,166,2
7.5,0.32,0.49,1.7,0.031,44,0.9906,3.07,0.46,12.5,65,1
8.2,0.26,0.49,5.2,0.04,19,0.9941,3.12,0.34,10.1,81,1
7.8,0.26,0.49,3.2,0.027,28,0.9919,3.03,0.32,11.3,59,2
8,0.14,0.49,1.5,0.035,42,0.9928,3.26,0.4,10.6,78,2
8,0.29,0.49,11.7,0.035,40,0.9958,3.14,0.34,10.8,91,0
7.5,0.19,0.49,1.6,0.047,42,0.9932,3.4,0.47,10.7,98,1
6.9,0.34,0.49,7.3,0.045,61,0.9957,3.09,0.4,9,145,1
6.2,0.2,0.49,1.6,0.065,17,0.9937,3.22,0.52,9.2,126,1
6.4,0.37,0.49,13.3,0.045,53,0.9982,3.14,0.48,8.5,190,1
6.2,0.22,0.49,6,0.029,31,0.9928,3.41,0.36,11.3,97,2
7.8,0.26,0.49,3.2,0.027,28,0.9919,3.03,0.32,11.3,59,2
6.5,0.44,0.49,7.7,0.045,16,0.9957,3.11,0.37,8.7,153,1
7,0.14,0.49,5.9,0.053,22,0.9954,3.36,0.36,9.4,96,1
6.4,0.26,0.49,6.4,0.037,37,0.9954,3.38,0.53,9.7,124,1
8.2,0.2,0.49,3.5,0.057,14,0.9928,3.19,0.35,11.5,94,1
7.8,0.15,0.24,7.7,0.047,21,0.9951,2.94,0.31,9.6,77,1
6.9,0.25,0.24,1.8,0.053,6,0.993,3.23,0.7,11.4,115,0
8.2,0.2,0.49,3.5,0.057,14,0.9928,3.19,0.35,11.5,94,1
7.1,0.28,0.49,6.5,0.041,28,0.9926,3.41,0.58,12.2,83,2
7.4,0.19,0.49,6.7,0.037,15,0.9938,3.2,0.38,11,95,2
8.3,0.25,0.49,16.8,0.048,50,1.0001,3.03,0.52,9.2,178,1
8.1,0.12,0.49,1.2,0.042,43,0.9934,3.13,0.48,9.7,117,1
7.9,0.22,0.49,3.8,0.042,26,0.993,3.1,0.39,10.5,79,0
6.4,0.22,0.49,7.5,0.054,42,0.9948,3.27,0.52,10.1,109,1
7.3,0.19,0.49,15.55,0.058,50,0.9998,3.42,0.36,9.1,84,2
8.1,0.3,0.49,12.3,0.049,50,0.9971,3.09,0.57,10.2,94,2
7.3,0.19,0.49,15.55,0.058,50,0.9998,3.42,0.36,9.1,84,2
7.5,0.24,0.49,9.4,0.048,50,0.9962,3.17,0.59,10.5,99,2
6.4,0.22,0.49,7.5,0.054,42,0.9948,3.27,0.52,10.1,109,1
7.8,0.21,0.49,1.2,0.036,20,0.99,3.05,0.28,12.1,79,2
7.1,0.3,0.49,1.6,0.045,31,0.9942,3.4,0.59,10.2,69,0
7.6,0.31,0.49,3.95,0.044,27,0.9912,3.08,0.67,12.8,104,2
8.2,0.29,0.49,1,0.044,29,0.9928,3.24,0.36,10.9,89,0
6.6,0.46,0.49,7.4,0.052,19,0.9956,3.11,0.38,9,165,0
7.8,0.28,0.49,1.3,0.046,27,0.9936,3.09,0.59,10.2,115,0
5.8,0.15,0.49,1.1,0.048,21,0.9929,3.19,0.48,9.2,77,0
7.8,0.4,0.49,7.8,0.06,34,0.9966,3.26,0.58,11.3,128,1
6.6,0.31,0.49,7.7,0.05,52,0.9964,3.12,0.45,8.8,168,0
6.6,0.325,0.49,7.7,0.049,53,0.996,3.16,0.4,9.3,164,0
6.6,0.27,0.49,7.8,0.049,62,0.9959,3.17,0.45,9.4,155,1
6.7,0.26,0.49,8.3,0.047,54,0.9954,3.23,0.4,10.3,137,1
6.7,0.21,0.49,1.4,0.047,30,0.9914,2.92,0.42,10.8,84,2
8.1,0.28,0.46,15.4,0.059,32,1.0004,3.27,0.58,9,145,0
6.5,0.13,0.37,1,0.036,48,0.9911,3.41,0.51,11.5,66,2
7.8,0.445,0.56,1,0.04,8,0.9938,3.25,0.43,10.8,76,0
8.8,0.39,0.34,5.9,0.055,33,0.9927,2.95,0.51,11.8,95,1
7.9,0.18,0.33,1.2,0.033,20,0.9922,3.12,0.38,10.5,52,2
7.1,0.31,0.38,1.2,0.036,10,0.9924,3.14,0.44,9.9,114,1
7.8,0.24,0.18,6.7,0.046,33,0.9963,3.2,0.56,9.8,127,1
